ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
786O_KIDNEY,6.448608915678518,14.999971370518448,16.165859490680177,-16.777961027641766,-13.347820286339806,4.774803387427487,-13.033069163323184,3.7176000325367187,1.7448638786814625,-14.238086844652395,-4.973834041411674,-5.42945825798979,-11.865232375188807,-4.843204915522199,0.4747043739693924,12.394248618686225,0.4850882088904109,5.49987395640308,20.477608540857528,2.121813867930786,3.8165746422774447,-9.038565336374562,-16.152639014084308,10.055639828686287,3.655234674378346
A498_KIDNEY,-45.98577796263574,33.99519456840722,-2.763074211464931,16.143581607584704,-2.901175997837201,10.81059620466351,-0.8280430143698426,-4.74315006251257,-5.488557395244311,2.4442477385297052,3.489551209047625,-7.399713892982564,-12.62290350499735,-3.2776086005991107,4.103036133406002,0.6013509457676127,-10.782163181052137,-2.6870218546242315,0.17065850910279357,5.1892263242814645,-4.028327340465202,4.940947238664485,0.4932608337867709,1.483210699572732,5.058393514906333
A549_LUNG,-10.880929371375862,50.45672475117225,-6.267453549894283,-19.531773776445647,-4.145261297806543,26.1866851242385,1.0670684042783467,2.619990159427729,2.334037690615642,1.6180959996389053,21.500025716316163,-11.57955537201297,-17.041520422727483,12.443329704036723,8.581191162600824,-20.058150626287752,-11.425137123456018,5.697564307600289,-17.076269937019475,1.4955953501409158,-5.722964717050269,4.792367509413235,-5.996071173730358,14.819227608375769,6.8083304439755805
ACHN_KIDNEY,-53.53738899472642,-17.25752439473497,-2.024301829636481,-3.5131644431085847,-1.8615998471367525,10.81159839064939,-3.211186103416832,-1.3643252449061738,-1.6931828615899733,-1.847007447358777,2.830828712571724,-3.8794855946208293,-4.7916045335475745,4.628081151244625,1.224270789539568,-1.1497345328319375,-10.291289421002565,-4.60027404510047,-3.3944373923503353,-2.806798336151762,2.5865881314613817,-0.6553213605052999,-4.3884880438368326,-1.150368317061723,-7.908780122677719
BT549_BREAST,7.809655832006991,-2.921299558197557,11.307373990345722,-10.898587568200751,-5.048594831555004,13.94868897482725,-2.9122075338999607,15.424798142538119,9.085179166893626,8.152113707498227,-0.9565156148973705,-22.405834640062984,-10.413277329446077,-8.215380872269304,9.195996050785688,5.776253307155151,-5.411927129303655,-1.030162322890299,15.800565500160756,-9.04528018548275,-7.374621844570731,-12.657032950785476,11.819308181541738,0.01528664303337477,13.234484332317836
CAKI1_KIDNEY,90.6137460986784,23.022804087419793,4.5069351795782815,-19.425971759153803,22.58971404928918,54.43828657927314,3.806528770989658,-47.55381425850065,7.832981286379728,21.33028120955786,0.48821364117298977,4.396185283816945,-1.7086274996383328,-25.12247021212645,2.797859165713479,13.869434217169285,1.1722353766543552,2.0087627021768313,-2.7802192378574895,-10.320835640755028,7.629600992428395,-1.9898884417695366,-0.25556457804964094,-4.726688068434092,-5.896222324347508
DU145_PROSTATE,27.485170326671867,11.830099746738682,-18.78473956848226,-18.71338864938957,-26.94704455020409,15.38066768544858,-5.240647769022632,9.669011748671567,0.8077621567547247,-15.747299680595107,8.537461078408874,9.929302946698087,11.557009375114015,14.630414376037379,-5.721917789885087,17.61424940404398,-5.183817923916375,27.560922920701824,-7.14456047890758,16.826477398709194,-5.732944199978554,-15.076507767471742,7.465727836835045,-10.318658428813377,-9.122901361898792
EKVX_LUNG,-61.17421541292337,-43.463215232610295,6.157924499720105,1.849512834062204,14.966316857121848,2.433878821427867,14.619002151974753,-0.49327971639345963,-6.603712975394185,10.52515390371677,10.382761605239534,8.369197871941191,4.004714796186377,4.228100073198157,15.297489789433966,-3.056234854495285,-12.579241881181485,3.8341685384341857,3.6046720794999363,6.936575049453491,-7.030170053590467,-4.060120456845405,4.210555664361318,-0.6089014541131208,-2.779673319993514
HCT116_LARGE_INTESTINE,12.087451196664988,-7.476795050740169,-18.689181120670597,-24.08904616383009,-16.645255044322475,4.494856534833231,-17.824577081611757,7.752861461013745,15.616998401719588,10.659373485463357,2.4125726815853907,9.19414624649215,4.504697489621412,6.162042577036667,5.342469399700359,-12.628817084358047,9.716098774801392,-11.75693398594289,9.04739717748578,-9.206821109488132,-15.528893665620913,-8.844279008423968,8.022959948152572,5.874433003884957,-11.629583202494075
HCT15_LARGE_INTESTINE,25.97926163485082,20.873237327210457,-24.315470132170205,-27.512875394943208,-20.97305564832439,-10.338459580763585,-21.538083393315876,8.926074141821143,5.304604083534201,-9.393948116309293,3.6262870109637295,-2.852875955237689,5.570095518918516,0.02524112247745964,-8.16805496605072,-8.383532415052159,13.789246170701512,-4.674861497919423,5.899957986345016,-6.510823228556148,3.286757888489363,1.734398157478711,-12.160053992553335,0.9938174062039817,-9.856676854946393
HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-12.984845744235852,54.19672977584717,-27.364956984893087,-12.970856558792875,-5.60581760444541,-6.855907751987733,17.32505568240708,-7.794353692263192,-0.9893742231463913,-0.3663234548972449,-1.4692870746314077,12.989743325151515,-18.729256225700713,-7.457202174520167,-8.647292369147852,-4.549322609114707,13.904156442808757,-10.400098314795423,-8.983930934793362,13.493142285456255,7.2719079491749365,-4.53460877173109,-1.8596785287910496,-9.40489775940616,-1.020609995307474
