0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,cell
0.008064128,0.6641151,-1.6153699,0.42956403,1.620263,1.0082709,0.92655784,0.96252126,-0.05367944,-2.1404243,0.09565301,0.9918298,1.8354867,-0.12340707,1.0932966,-0.3756202,-0.83980095,0.06389096,-1.24906,-2.688184,-3.14882,-0.18941754,-0.03594085,-1.4799215,-0.8525252,1.3671609,0.041770026,-0.9836718,3.420469,0.6743504,-2.8309543,-0.27994302,-1.5303112,-1.7216161,2.3464801,-0.62527645,0.59543324,0.6139487,-2.3483145,-0.3310241,-0.32707122,0.3349125,0.15012525,1.680261,2.2475748,-0.6549351,-2.2104225,1.2184441,-2.4942324,-1.8658316,-1.3428165,0.45276704,1.7958119,-0.5393807,-0.20088963,-0.37604353,-1.0926614,1.9398766,-2.044517,-0.4593458,-0.6621725,1.4988166,-0.44985908,0.3277033,1.118289,0.67466974,0.36870235,2.5801175,-0.3673241,1.1555129,-2.3055058,-0.8973886,-1.1336033,-0.96050787,0.27865416,-0.66250753,0.16673282,0.10224598,1.1328775,0.83619565,1.9133095,-0.5063088,1.4953122,-0.8040748,0.62452275,1.2483046,-0.24129632,-0.8059995,-1.3493259,1.2672855,-1.0479506,1.5900499,-0.20803249,-0.23489732,-0.6543389,-1.3890846,1.8171594,-0.33057088,1.455769,1.6592603,-0.0776456,-2.7065945,-0.57297015,0.106761746,0.63347805,-2.338097,-0.5481261,CAKI-1
-2.205321,0.65567815,-2.3188708,0.06315473,3.2693963,0.5013865,0.1445948,1.388699,-0.21567513,-1.559016,0.4419915,-1.3810275,-0.7519501,1.4958898,1.3878392,-0.0776926,2.0781949,-0.8257398,-1.5230038,1.9543866,1.0718056,-2.06209,1.7154696,-0.93645304,-1.4830863,2.510548,-1.0021324,-2.1699612,1.2016728,-1.7809423,-2.2629523,-0.5027007,1.2073505,-1.6853985,1.1428591,1.5042868,-0.025625933,1.0120156,-0.6247938,0.2861602,1.211799,-2.7505105,-0.004939881,2.0119143,1.2522737,-1.5516062,-2.9572976,0.44622228,-1.9471115,0.3356951,0.32960588,2.3655481,0.49633542,-0.6911202,-1.8355106,0.9605868,0.9338086,3.7214592,0.76524,0.6154266,-0.7222408,0.42236707,1.1409009,-0.82461154,-0.996341,0.92580074,-0.28985152,2.7930112,0.55383617,3.5646806,-1.2074525,0.024907188,0.33600304,-1.4169456,-1.1321968,2.364132,-2.244364,1.921729,0.54809386,0.7706789,-0.6135007,0.36117482,-0.4419581,-0.062017005,0.09174742,0.99369526,-2.2409713,1.4141796,-0.5222596,-1.1843349,-0.30897534,1.8030024,1.479977,-1.493027,-2.3521934,1.917877,-0.11793035,0.23963794,0.06756683,1.6046385,1.0111107,-2.416398,1.3677579,0.3333818,0.487866,-0.6265901,0.08345491,NCI-H226
-1.0518516,1.8971148,-1.3221567,-0.88318336,1.3672504,1.0849557,-1.2124743,0.80156785,-0.9198831,0.45925343,0.015505637,0.07556537,1.3106269,0.63699234,2.1597507,2.294159,-0.25293043,-0.7299821,-1.6968518,-1.2277263,-1.0549674,-1.0064658,-1.6702548,-1.8442023,-0.12631252,2.3474476,2.267605,-1.5136392,1.1726159,-0.62445176,-1.7600623,-0.9966105,1.1125318,-2.4650688,1.7558464,0.1310767,-0.5054593,2.0275886,-0.759824,1.0958172,1.7985404,-0.3865138,0.5877183,0.05513996,-0.9600769,-0.29919863,-1.0540736,-3.3642492,-3.284709,0.21771404,3.012436,-1.786828,-2.5502322,0.21795885,-2.8903654,1.8913261,1.4545692,2.002093,0.14237832,-2.7200072,2.338132,-0.65180486,0.104915604,-2.3323214,1.5551343,0.7495623,1.3681465,-0.30719787,1.521377,-0.9911468,-4.970105,2.3545299,0.34268683,1.0902222,1.9438862,3.0323682,1.0227792,0.43866894,1.2544656,1.1488101,1.3958807,-0.057563595,-0.39614952,-1.7526269,-2.6578774,-2.0412173,-1.3898784,-0.8875164,-2.6199672,-0.3441306,0.41139343,0.5964054,-3.1004395,1.3732624,-0.015848618,0.7163984,0.2594626,-1.3476211,0.5088634,-0.691878,2.079181,-3.3915648,-0.7286834,-3.3910613,1.8672208,-0.61180264,1.8430517,NCI-H322M
-1.4380211,-1.2557293,2.0407536,3.2545977,-0.26586723,-0.74284613,-1.0561053,0.64385253,-2.1061146,0.9343669,0.8152289,-1.5243051,-2.9706182,1.2145994,-1.1179528,2.5397375,-0.14475805,-1.7349216,-1.0494808,0.768482,1.9662517,-1.7018236,-0.54350775,-0.16398358,1.7993498,-0.42614633,-0.084302135,-2.1955376,-2.80283,-2.18001,-1.3076689,0.6176738,1.5039302,1.2343892,1.0734339,0.8200954,0.96249974,0.82353383,1.1696435,-1.1981326,2.0340607,-0.62509614,-2.0696769,0.19134782,0.038472,3.441008,1.4718491,0.82518536,2.0929842,-0.23435684,2.021033,-0.72541267,-1.239814,-3.0899158,2.5900638,-1.8869115,0.8514245,-2.525397,-2.6053915,0.09254193,-0.05949401,-3.7859144,-1.4271029,-1.7579428,1.3662583,-0.12548284,1.6256604,-1.279674,1.4851413,-0.09572086,2.4694567,0.7474071,2.6905036,2.9630759,2.4119194,-0.46714842,-2.046399,0.820515,-2.8735874,-0.1239738,-1.3402828,2.4163237,-1.1790823,-0.16740048,-4.3813853,-0.49658874,1.52372,-1.1547613,-0.66186327,-0.6360015,1.7262065,-0.45415106,0.38728583,-2.2628932,-1.0631528,-0.42809492,-1.5333086,0.094703,-1.1200359,-0.02401921,2.9662127,-2.2010143,0.05126973,0.8615787,1.0254357,0.52692986,0.32014835,T-47D
-0.24171326,-0.6965996,1.6744784,1.8853315,-2.1198485,0.28632373,0.777615,1.8353704,-0.10105951,2.4377203,0.9157252,-0.5634823,-1.1150117,1.2345144,1.5108217,-0.22175299,0.806671,1.6158433,-0.50741524,1.9448864,0.0268139,-1.1686512,-0.67744863,-1.4937583,-0.76537627,0.44829616,0.6245377,-0.7688298,1.1197271,-2.8374324,0.50120384,2.365658,0.6413527,3.0898972,1.3653184,1.6572266,1.3621511,-1.2316128,0.29300258,-0.39390147,2.6303787,-2.3271723,-1.9173898,0.40572965,1.8672764,-1.59991,0.92885584,-1.41113,-0.16838288,-1.8396542,-0.92355394,0.33937135,-0.46017015,0.006764574,-0.7266161,0.75221616,2.2259994,-0.53309876,-1.6299528,0.037023664,1.5096658,-0.26780483,1.0416989,-3.0811138,1.9095483,-2.2311478,-0.61148816,0.0120492745,2.232036,1.6730316,0.8260278,1.0842772,-2.7385125,1.2050215,-0.706102,0.26031238,-1.9233907,-0.18332075,0.35714406,1.1238487,2.4417825,-0.17563051,-1.3861159,-1.2656975,-1.6605147,0.33724904,4.5668077,0.23343667,-2.0149598,-2.3486543,-0.9549186,0.41925353,0.09772,-0.046451513,2.178223,1.387078,1.2874535,-0.055899307,-0.38115656,-1.279573,0.08125483,1.1014795,-1.0151243,-0.67747694,-1.1813738,-0.6759775,2.8008583,SK-MEL-28
0.72189206,-0.082509466,0.78658366,-0.32209158,3.2265067,1.6571039,-2.1680913,2.022561,-1.287888,0.40190172,-1.5272602,-0.800217,-0.043765474,0.3235911,0.9725964,-0.64607644,1.1039447,-1.0680611,1.7923592,1.1490641,-0.5706459,-1.7138902,0.9607539,-0.44110358,-2.117709,1.753456,-0.54603034,-1.2520779,1.1273686,-0.5303005,0.9519744,0.15953407,-0.32616222,-1.1455023,1.5699102,1.625559,1.153929,-0.019542951,-0.5877715,-2.3048801,-1.1859546,0.66512626,1.0589057,-1.1156455,0.8478564,-1.9156603,0.14445627,-4.844004,-1.9425993,-0.6367323,-0.49978313,1.4113457,-0.14106533,0.66365427,-1.1665193,-1.0169085,-2.6589684,0.5155809,-0.3379294,-0.6823332,1.53979,1.1356696,-0.3636967,-2.3495336,-1.003868,1.0869882,-0.1088227,0.81044203,3.0239348,1.7266327,0.13333227,1.4972893,1.9753505,-0.76451904,3.2716668,0.94606745,-0.6905368,2.410538,0.033784475,1.460073,1.7162801,1.1758308,0.1868715,-1.8525877,1.0304779,1.6556939,-3.6382883,-0.19651341,0.64528376,-0.004718948,-0.5893721,1.8282908,-0.6069892,0.2459368,-1.722268,-0.650052,-1.9201498,0.81731504,1.4132499,2.1701422,2.357926,-1.7569,-0.28445354,0.060565248,1.4815145,0.6443069,-1.3906096,OVCAR-4
-1.9923608,-1.8563926,1.1646138,-2.4600718,-0.5227461,-0.65363675,-0.41493744,0.24914293,-0.909569,0.21182889,-1.7169431,-1.5564691,0.6451632,0.21957465,0.4234753,2.591004,0.83181775,-0.95896953,0.44004413,1.1560197,0.14091137,-1.4796237,-0.4283094,0.37021196,-1.1916842,0.06530976,1.6648412,-0.4269512,0.8468278,-0.6786262,0.28988785,-0.7314897,-0.042278863,0.7140758,-1.7403429,-0.16968821,0.23587988,1.5613441,2.2988951,1.2666588,-1.4078712,-3.1351955,-1.1358347,-1.6097647,0.071632855,2.7638016,-0.909289,-1.8968984,-1.9184165,0.041177742,0.5146152,-2.7460742,-2.041197,-1.7051948,-2.6223774,0.41314226,1.6884619,-1.4804909,-1.6378695,-1.707094,1.6012992,-1.1296406,-0.7168262,-0.22879745,0.43735188,1.1278888,-0.29405564,-1.9572431,1.2146041,0.106113344,-0.56098884,0.13206889,0.3304091,0.6947486,1.5129526,1.002832,-0.9988143,1.5302821,0.013780601,-0.43919525,-0.11623452,1.5173528,-0.3931804,-0.7989604,-1.7829096,-0.9068739,-0.48525715,-1.843233,-1.7459474,-0.33903986,-0.24526535,0.40949205,-0.0010013852,-0.050897688,1.377996,0.60444087,-1.7266045,2.256115,-0.63570696,-2.3524718,2.1228096,-3.1374521,2.1138613,0.42892557,-0.11532581,-0.8089396,1.2220678,HCT-15
-2.6180725,-0.22889958,-3.1854613,-0.77313095,0.3988,-1.2174546,-1.691125,0.8520699,1.091434,-2.142736,-1.3937734,1.9375664,2.2459092,3.8902097,0.4851097,0.27542403,1.3591712,-2.6500533,-3.2135272,-0.68532526,-0.6006196,-0.8219337,3.9793923,1.9011097,2.2889352,0.4476451,-2.5042784,-1.9786421,3.302471,0.87775,-0.87078464,-1.2058759,1.7426659,-1.700355,0.21475102,-2.2344127,0.15841158,0.5695036,-0.35883784,-0.99992394,-0.22875506,1.9859163,1.7207797,1.873019,2.148149,0.058636885,-2.4832315,-0.0059016515,-1.2162633,-0.42429394,-0.10946503,2.362579,0.66915244,-0.15795082,1.921636,0.59393805,-0.8503338,2.354575,0.5118326,-1.49824,-0.5213606,-1.0059537,-0.52558446,-0.582676,-0.30677277,-0.58180976,-1.1423218,2.2242365,-0.07626685,0.25929463,0.60140306,-1.0904315,0.75782526,-1.0564454,0.122177824,-1.2280495,-2.028114,0.84037256,0.35002953,-0.48494095,0.55210805,0.8394427,1.43581,0.45715472,-0.49506727,2.0634282,-0.0038863996,-0.28620982,1.6906672,-1.5129169,0.4332091,0.02370194,-0.17312735,-0.3581397,-4.131763,0.59915453,1.5776534,-2.0158615,0.25473633,-0.17801091,3.5851853,-0.7483613,1.7042888,-2.2281094,0.79996014,1.1809535,-4.038226,SF-295
-1.9463571,0.79773414,-1.246728,0.347142,0.9384879,-1.1024532,-2.6706703,-0.73468643,0.5195342,2.3418891,0.8218933,-0.2677578,2.6747544,-2.0581024,0.59424293,-1.8452098,1.4824975,0.7438737,-0.18184283,-1.2965628,-0.4948331,-1.7856805,-1.1567844,0.0073338896,-3.3521543,1.935591,0.7698236,0.7462332,0.5515718,1.6411495,-1.552973,-0.22845803,1.5572423,-3.4798765,-1.2999638,-1.8762199,-1.0625863,-3.0579014,-1.3514855,-1.688658,1.1805369,-1.3824253,-1.0100905,1.3054779,-0.68860257,-1.5278581,-1.3109682,-0.025020322,-2.4900398,1.2634977,2.1818957,3.7503915,-1.5945641,-0.9669186,0.3829062,0.37561902,-1.2703289,3.0521467,-0.92983127,-1.519535,-1.4268099,1.6231202,2.355945,-0.8610856,1.8902624,1.9092443,0.53854686,0.20637323,0.4710402,-0.3444285,-1.1517183,-0.026059724,2.592659,0.15630585,-1.3412795,-0.38016537,0.53370136,-0.61319536,2.6559026,3.69802,1.2388067,0.1596183,0.99291354,-0.77101505,-1.6216651,-2.0133255,-0.30180672,0.057298318,-2.6620808,-3.0880415,-1.7976499,3.1347098,-1.7930304,0.46349484,0.079336286,0.78145915,0.9733257,0.9329159,-0.6931664,-0.8056911,0.20047013,-0.5093895,-1.8678402,-2.3843336,2.9755235,2.3744528,1.0125568,NCI-H460
-0.7571868,0.06291217,-0.7723228,-0.8422446,-2.0658813,-1.1275885,2.623848,1.0443082,-0.2354839,-0.14085256,-1.2366711,2.9210804,2.0845134,1.0075763,-1.4113142,-1.6527854,-0.7572255,-0.36101556,-0.26249868,0.40194583,-1.0025581,2.071132,1.0830207,1.7852163,1.9054983,0.614633,0.17671591,-1.0640599,0.14178605,0.92312056,-0.8708311,2.1452858,-1.0583502,-1.8942586,0.6564896,-0.97953445,-1.1360811,0.044621203,0.3476497,-1.0063307,-3.120924,1.4831669,0.37175083,0.119125694,0.72696316,0.4009294,-1.2917268,-0.4319203,-1.9090624,-0.19269143,-0.49508518,4.7385178,-0.3580856,-1.3891903,0.9186159,1.0214912,-1.8684824,-1.1687988,-3.1078463,-2.1763084,-0.21397948,-0.77178854,-0.045889623,-1.5577475,-1.455056,1.2337971,0.22094376,1.8922945,-2.19526,-1.3832104,0.33161348,1.1621201,-0.470795,-0.42333046,0.8631291,1.6470581,-2.6101217,0.37570953,-0.68224776,1.9636832,1.2708803,-1.7268364,-0.034622546,0.048281375,0.017530454,1.2261335,-0.656022,-0.16802596,0.04535168,-4.346465,-0.88748276,3.610358,-0.052111495,-2.4581635,-0.8160347,-2.5116699,0.6419648,0.5415562,-1.4447992,-2.598564,2.442494,-3.6618702,-0.97962964,0.5014266,0.49030933,-0.10864379,-1.1654809,SK-OV-3
