0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,cell
-1.1459925,-1.2081287,-0.011041297,0.9159349,1.5730671,-0.2741286,0.016542377,-0.26258516,0.83379424,3.6819565,-0.2628461,2.158394,0.23307116,2.293486,-1.5338212,0.5121108,0.9761663,-1.1391885,1.7390884,0.4880467,-2.3681614,-0.9978674,0.41208854,0.041871835,-2.336771,-1.3534251,1.9003652,0.2640899,0.11027514,-1.2515036,0.78233194,0.5304419,-0.3079482,-0.93536144,1.9472262,0.88085103,-0.7934635,2.8223088,-2.8162844,-1.6330049,3.2913463,0.5307052,-0.32433414,0.8356967,-2.7110326,0.67706597,-2.3595634,-2.3885133,-4.3111587,-0.047443695,-2.4619298,-0.692409,-0.27295578,-0.5337258,-0.53918827,0.1337922,-1.2163559,-2.332121,-3.6919818,-0.86247873,-1.7755306,0.8234005,-5.7654576,-1.4073023,2.1941977,-0.00617388,0.9021345,-3.779009,-3.6712968,-0.70846385,1.5819255,-0.2868289,-1.5630267,CAKI-1
-1.9110576,0.83130777,0.9982529,1.9827105,0.6779866,-1.2313358,-1.2409787,2.5583603,2.9884984,3.16969,3.1758199,0.00045573778,2.327872,-2.4653015,-1.3323941,-1.8876668,-1.9962422,3.1169598,-1.2125952,-2.1223757,-0.46047753,1.1462826,3.2576785,-0.603384,2.1966128,1.9226854,-4.176087,-2.9834871,0.6850596,0.45446178,1.6184895,-2.1323078,0.13603194,0.7621905,0.631831,-1.5759047,-3.2351696,0.8949872,-0.9068219,0.78410226,-2.0162086,1.42187,1.2408073,-3.8158922,1.0959439,-0.06136725,-2.8027246,-1.8115826,-0.46199945,-1.5171611,-0.9724763,-3.1797185,1.951391,0.22243217,2.2523346,-3.027764,-2.4010386,0.91487575,-2.5105524,-2.3518496,-0.49871013,-2.7819605,-0.6660575,1.1780876,1.2559196,-3.1609325,3.6741927,-2.7667632,0.8159267,-0.042612225,2.2693698,1.8862982,0.8004799,NCI-H226
0.34570864,-1.8482482,-1.4329166,-0.1885074,-0.23234513,2.5091858,3.8888364,-2.0208147,-0.41752002,2.3554509,0.984581,-0.24070838,0.26796666,1.3289175,2.441738,3.4687707,1.8558354,-2.7885425,-1.7474312,-1.1188644,5.452051,-2.5397546,1.2328435,1.693765,1.8994858,1.307303,1.6287911,-0.5895895,-3.86511,-0.094868414,0.9613946,1.6251736,1.1464323,1.4261088,0.9817209,-1.4277352,0.2863025,1.3378434,2.812856,0.5506231,0.18759479,1.2108107,-2.4463925,-0.40598685,-0.3323941,4.030858,1.417477,-0.77743334,1.8534858,1.8849409,2.557246,-0.034496058,0.36644697,1.9481903,0.69351625,1.3949448,0.8471151,-1.4340245,-0.1532227,0.31870964,-0.14991176,-0.17111939,-0.29823536,-0.34020033,-1.7281331,-1.0389665,-2.3817518,3.515923,0.6237631,0.5615952,-1.2986226,-0.09817567,-2.2410417,NCI-H322M
-3.5325983,1.0326437,2.7868466,-1.9238142,-5.354263,1.8327719,-2.7052822,1.7743896,1.5942153,3.0201638,0.48686388,-0.73228586,-0.40119162,1.8334639,0.15469114,1.4239733,-0.22342585,5.2585855,3.461957,4.5211687,1.6847875,0.07412972,2.4408863,-0.75153863,0.13790253,-1.0523993,4.20926,-1.4301927,-2.4741127,-2.366031,0.7521898,-0.75022554,-2.7608013,2.6797853,-2.4426188,2.4704628,1.6817764,-2.1639311,0.841346,-2.0721347,2.8503957,-3.888672,-2.2226896,1.1274984,-2.7443128,-0.8573684,-0.14170983,0.32035726,-1.73599,1.4636,1.337302,-3.299089,5.084218,-2.441207,1.4604877,-0.90520674,-0.4895196,3.7609074,4.3227396,0.23343989,1.876504,-1.5224988,0.774146,-1.8712012,-1.5197605,-3.3021727,2.4583778,0.8935985,0.83276695,-1.2253635,-2.0928118,1.1876552,-1.7227762,T-47D
3.1440127,-0.548377,-0.90705985,0.06541393,-1.8554034,-1.7351371,-0.61340123,1.1225113,-2.536257,0.6318735,0.18686059,0.14442864,-0.3071721,3.5218072,0.31458253,1.0299832,2.7981718,-2.2704542,1.825525,-1.0227312,0.014552076,-1.1926194,0.34423226,0.2700792,-1.6422801,-1.699892,1.6725414,-0.0897894,0.99654746,-0.7842338,0.5345681,-1.0918915,0.62075484,1.4131784,-2.8801289,0.6102474,-1.0641328,3.0250027,2.4236882,-1.2473369,-0.9895174,-1.3049312,-1.0254027,1.9473964,1.1140468,1.5813273,-0.41334844,-2.7281573,-2.7023108,1.7711668,-4.727993,1.7823414,-0.78921247,0.6537063,-0.2294763,-0.527003,1.3888718,-0.7987808,-2.3396688,0.12328902,0.8664686,-0.4399883,-0.36016157,-3.584089,1.3236083,-0.29453695,-0.14174263,0.56226283,-2.6219516,1.3907918,-1.8926417,-2.210812,-1.5360272,SK-MEL-28
-2.0349119,1.1919827,-0.24479923,-2.2927494,0.56182647,1.389438,-4.2614164,1.0839436,0.4535299,-1.9585354,-1.0788015,-0.77491707,-5.636452,-1.1180891,2.3634722,1.1793504,-2.3484285,2.6932523,-1.6095852,-1.6582364,-0.5249589,3.6605399,-0.79057777,-0.37070832,-1.2367972,3.130421,-0.3209329,-0.815739,-0.55968994,3.2098842,-0.48728403,-1.6202202,-0.7421378,-0.2976872,-1.4245963,-3.5636296,0.12551229,-3.067342,1.4401882,-0.38948542,-0.46773604,1.6003501,0.34053105,0.07671399,-2.9636416,-1.9625474,3.1494935,0.47437376,1.4956856,1.5096233,3.4593134,-1.554073,-0.033930767,1.2420634,2.337833,1.3736593,-2.306703,-0.8901458,-0.01636276,0.9190439,-0.18691973,-0.19113833,0.8027596,3.7900274,-2.7567825,2.05299,1.6230186,-1.0216128,1.7351122,2.464717,-3.20906,1.4230493,0.26712224,OVCAR-4
0.10872677,0.13894245,-0.99359864,-0.6693597,1.0744828,-0.13592246,-1.9745221,-1.0948228,0.7976565,2.1142895,1.9305806,1.7617782,1.1917723,2.7876508,1.0628245,2.378123,0.9540704,-4.437591,0.58959526,0.22809453,1.422786,4.636425,1.4978831,0.74088967,3.298907,6.7555504,0.76266676,-0.66521645,0.4082238,0.1370637,-0.007971867,-3.231379,-1.8321527,2.246391,4.1984286,2.3265917,-0.41408634,-2.9425085,-1.4061133,-3.2413023,2.4793239,-5.7117615,3.4945724,-0.26728278,0.9524754,2.6415296,-0.870034,-0.2583574,2.048672,0.5051824,1.1346335,-1.2364312,-0.066153854,3.0778122,-3.8353484,-1.5151207,-3.301921,2.8816912,0.8813147,0.20371911,2.6299944,0.25955588,0.48935464,4.606763,-0.29295406,3.7702007,3.2009132,1.2876016,3.8554459,-0.14419058,-2.6305122,-1.2506654,-0.8896941,HCT-15
3.8047278,2.9955785,-1.4775363,1.538632,3.6785824,-3.3036988,3.5047214,1.1924815,2.3731697,0.45014504,9.737235,1.9205899,-2.3637826,-6.981131,-4.6872616,0.8854464,-4.606399,-1.7581662,-0.5836263,-5.6662445,-6.971015,-2.5576997,-1.9417158,-3.3744118,6.552341,-1.664778,-1.8161906,-4.7733607,-4.1633306,-0.11465602,-2.8824,-4.321077,3.5700905,3.1955214,4.799372,-2.1769648,-6.054395,-1.0428805,3.3578732,3.2712996,3.0906057,-3.497025,-0.90930593,-1.1417757,0.23267524,-1.6623442,2.4852884,2.0754333,2.5556347,-1.3470093,8.169737,0.65030104,-0.6448318,1.0742608,2.2252772,-2.1191058,-1.8379651,1.6040864,-1.42184,-5.3538404,-0.6635653,3.9380476,1.6835277,3.8548818,-1.0817217,1.9370275,1.9141551,-1.7815465,4.51996,-0.94497633,-5.195238,-4.199672,2.314808,SF-295
-0.2148169,-3.0128758,-0.19277446,0.08603863,2.043535,2.5631568,2.3164458,-0.70462734,-1.5166248,-0.35397154,2.1575813,-4.125748,-1.0489138,2.5599203,0.9739356,1.1849914,-2.7711067,-1.7767129,-0.66707796,1.6164054,-0.08988903,-0.1888829,2.485363,0.5127387,1.2651399,0.12582901,2.671848,1.6302034,-0.7002434,-1.5910656,-1.2092041,0.9521759,-2.6929767,3.0895722,-0.7585305,-1.4950992,-2.2490819,-0.84106743,-1.0825576,0.24268018,-1.1066972,2.145034,1.0260018,-0.9425445,-1.3295953,2.1621268,-2.0363631,2.8825295,2.8093817,1.8150516,2.9260216,-1.4382566,2.6805663,-3.0312486,1.1381122,-0.3243399,1.6927763,1.5981717,0.49751553,-0.10136664,-0.38569015,-4.3002577,3.9722972,-1.155469,2.2100844,-2.2810807,-0.8659274,1.3388042,-0.20132191,3.221276,-1.5538821,1.2536277,-0.7806471,NCI-H460
0.056132194,0.7339884,-3.336592,-0.88794315,-2.7259288,-2.6991916,3.0170894,-1.3297808,2.2830415,1.0306698,-1.8295141,1.4072312,-0.992018,-0.40089434,-0.6978726,2.9930172,2.4341595,-1.7733657,-3.0015054,-4.9327936,-2.3893278,1.5463958,-2.1246707,-2.3831205,1.4682913,4.7894087,0.83648896,-2.5524678,-1.4801253,0.90516317,-1.3426881,-2.389295,-0.4329484,-2.083645,0.052403692,-0.85214376,-0.31028077,1.0434109,-1.5330292,1.8548518,0.19897906,1.1419617,-1.146201,-2.0020487,-1.4943795,0.3500209,2.0413775,1.9026687,-1.0898982,2.3545487,-1.1742802,-3.9904475,-0.14156604,-2.838447,0.95177555,0.9028513,-1.5293698,0.36018258,-1.2916652,3.7703753,3.0401723,-0.049088895,-4.342076,2.5988588,-0.5809782,3.2151692,1.7760597,-1.5330139,1.1066031,-1.4736121,1.0223725,-2.1846645,0.80374885,SK-OV-3
