0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,cell
2.1168594,0.2379448,-2.8533845,-0.28963083,2.0050726,1.3833436,1.2222259,0.30865332,2.1847758,0.012871419,0.98549783,-2.8969307,0.82298857,0.26034662,-0.33887947,-0.17356098,1.141554,2.133471,1.2880021,-1.7644343,0.46500278,DU-145
0.29262632,-0.10893539,-1.052497,0.9371274,-1.6535832,-1.4118372,0.37625173,0.25494766,0.77026176,-0.8658556,0.8191235,0.9970662,0.19352755,0.39663464,2.0715725,1.9206382,0.26351112,0.37900734,-0.6490334,0.73153293,0.71137303,NCI-H522
0.46643364,-0.14434323,-1.532305,1.5172448,0.3763624,1.2024115,-0.286849,0.2756305,-0.014131576,-0.7990982,1.2778411,1.5747755,-0.23643215,1.1422632,1.189198,-0.22425699,0.41366166,1.2044976,-1.1764916,2.1597986,0.35596797,U251
-0.14368223,0.0840247,-0.33399975,-1.5619845,0.34319338,-2.0636456,0.20601243,-0.62611663,0.18343537,-0.57847077,0.47397777,0.3794945,0.009962634,-0.33293536,-1.3845853,1.5498875,0.2718065,-0.40199298,-0.10660017,-0.7230563,0.147536,ACHN
1.0605881,-0.3041601,-1.4527661,0.05441165,-0.66122305,-2.3230367,0.074509874,0.4091679,1.055685,-1.0674282,1.2268312,-0.64065015,-2.0869043,-0.16810665,-0.8349753,0.3731604,0.04054562,-0.2644531,-2.0404484,-0.7552203,-1.0151094,RPMI-8226
1.6864688,-0.7087402,-1.5921782,0.028714765,-0.35325995,-0.6535339,0.7754897,0.9815453,-3.124101,0.22521318,-0.22243734,0.77994037,1.8277133,1.1383188,-0.19088037,0.78485006,0.68636346,-1.7590518,-0.39227298,-2.5515501,1.8495159,MDA-MB-468
-0.09526326,-0.4569706,-1.140589,0.43274665,1.5215315,0.23921376,1.4613324,-0.18247019,2.2299669,-0.76627797,2.0606003,-1.57597,-0.71829486,2.0378673,-1.1422963,-0.5605066,0.77052975,1.1402059,-1.3103603,0.98698366,-0.42678398,BT-549
0.654571,-0.79088694,-0.9909317,-0.3457173,-0.11886319,-1.3410329,-1.3418782,-0.21508262,0.53199744,0.9971073,0.29051384,0.302756,-0.29709822,-0.24762681,0.63140464,-0.3131759,0.59968007,0.7646531,-1.7133234,1.4147273,0.9861411,HT29
-1.6087487,0.15503637,0.07175397,-0.40715316,-0.7987108,-0.34795064,-0.00022373872,0.27403098,1.3704027,-0.28152224,1.1199553,1.1102635,-2.6896608,-0.15175298,-0.17798007,0.24785033,-0.26421916,0.25507727,-1.2663252,0.08837238,0.25924525,SK-MEL-5
-0.90856606,-0.8101328,-1.2205596,0.6851514,0.76186764,-0.3436086,0.7900689,-0.5497859,-0.15614459,0.28304547,-0.4263136,-1.6920775,2.314271,-0.89508677,0.2014975,0.36615485,0.021935353,-0.87901396,-1.1904703,1.2607671,-1.4089298,PC-3
0.062218376,-0.53724813,-0.25692967,0.037183624,-0.5909705,-2.2009325,-1.2964361,1.4783635,1.0624721,0.85656136,0.96605766,1.6304247,0.29958627,1.25301,-1.0347514,-1.201315,1.1946621,-1.1538091,1.501818,1.2482718,1.0668912,KM12
1.3061559,-1.4297082,0.260606,0.4576567,-1.4853312,-0.38322577,1.5033844,0.52142644,-1.007551,-0.2584829,-0.65080005,-1.9173245,3.793266,-0.05529609,0.64160264,1.0441681,-0.626475,-0.9353782,0.9482448,-0.075167894,1.2895902,LOX IMVI
0.34767765,-0.19248246,-1.2667918,0.0109619135,-0.053598177,0.2584159,-0.9940637,0.20871845,0.1259588,-0.40847647,0.683939,0.9386667,-1.6401393,0.024092127,0.3866708,-0.2271421,0.8448676,1.4848298,-1.4989904,0.6280482,0.3130017,UACC-257
-1.8575865,0.015511622,-0.14399017,0.24118592,0.27938312,1.5586661,0.8989736,1.2207936,1.8971312,1.875862,-0.9017749,-0.24160519,-1.6271653,-0.91126686,0.05196974,-1.8709744,1.3405994,0.18602015,0.08683549,0.6096084,1.127353,SR
1.984319,-0.037478566,-2.4359243,-1.1898907,0.051140863,0.33438697,0.065700255,0.4842418,1.1770246,-0.6227261,-0.32715893,-1.5100803,-0.39664304,-0.25792623,-0.7740722,-1.5166347,-0.34832194,1.2518823,1.5373715,-1.5643831,1.3824546,OVCAR-5
-0.0469325,0.8055958,-0.8900093,1.2333976,0.38535377,-0.656994,1.781569,0.8099471,1.5763437,0.7723375,2.0581398,-1.2775362,0.78057826,-0.13582665,-0.017404819,-0.3504049,-0.35839272,0.2560567,0.08621936,1.421321,0.62573487,UO-31
-0.80140865,-0.7906784,0.26233166,-0.53254575,0.5077865,-0.085120045,0.50575036,-0.7176973,-0.7397689,-0.7309292,-1.1519539,-0.48736224,0.7507237,0.107399315,-0.043565065,-0.049784034,0.21175049,-0.7728093,-0.6513192,0.13929924,-0.30355388,SF-539
-0.6752048,0.46893495,0.20699029,-0.62148106,0.69361806,-0.32416546,0.91843987,-0.38152552,1.3161043,-0.03441898,0.56708765,-0.6543581,-2.2261515,-0.25755012,-1.2615596,-1.2105547,-0.082199536,0.12510203,-0.6277405,-0.354192,-0.3252647,SNB-75
-0.5537529,0.21790591,-0.40145043,1.0819907,-1.3056191,-1.5449251,0.48430434,0.735873,0.54868597,-0.5640842,1.0270756,1.4680232,-1.1774114,-0.53443754,0.42971194,0.3026902,-0.6341271,-1.1770396,-0.56258297,0.09165326,1.0662491,SW-620
-0.67744595,-0.0152366,0.32079566,-2.0425735,-0.2784366,-0.8522088,1.0205292,-0.18648934,0.9320755,-1.0843792,0.7598854,-0.10851984,-1.6188889,-0.31278342,-1.121114,2.4349496,-0.53209525,0.46884078,-1.2783407,-1.1212388,-0.15447176,SK-MEL-2
