cells,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
CAKI-1,-5.998056180451711,6.873319869732614,1.384868546218072,-0.296709060243326,-1.583831473496073,3.158342777200274,-1.3884450056260955,1.0930534611172968,2.3035793640729154,0.5578943365016525,-2.314105671812389,1.153564704719144,-0.8601116031342193,-0.8569041068551025,-0.9429392421576224,-0.6552882041527648,-1.0172168296407016,0.42346108412547784,1.1472998994423733,0.7714918328106782,2.80054802039124,3.251067774121502,1.3268385731006844,-0.5692688389491307,0.3347259420013515
NCI-H226,-3.1883747469506853,5.268634118604356,-1.058981783655016,0.3479426109409506,0.024546144804874336,5.334929051866899,-0.5239686205951098,-1.3075901137387786,-0.22081169548541144,-1.5424581292850914,-0.6039689368025548,-0.17486690641096647,-2.8124853199375712,-0.43125004150034846,-1.8366909411828967,1.6555503611726141,-3.182048896306696,0.29150481593910393,0.9152858784516492,-2.920924113356269,-0.454618638519067,2.2161342080279938,-1.3227446384483792,4.165695438009162,0.48589250832200315
NCI-H322M,-0.06065799432831236,6.2606725957563505,-4.876398294882824,-4.9622916705583595,3.727900571860326,-0.7753303452525278,3.3246259793240767,-1.3891820264433183,-0.9934790208844165,1.4226358490236377,-2.9545318086066064,1.665963925094591,-0.17104658439638187,-3.100153551353956,-2.064359668709747,-1.1574872209061975,3.2371443992534505,-0.06396611687161712,0.3191867680011183,0.7521984874996364,-0.17287551380824437,0.1392427545566425,1.5965908250195249,-3.176422229578243,-0.9654666771785111
T-47D,7.925111221238122,-5.7368854757597525,-4.910987621355027,0.7676612548217556,6.786491709074659,0.6907980163402161,-1.8750536202976011,-4.116994067642918,1.602735569944998,-3.3733170309019584,3.1397496482850755,0.6157104558971561,0.3154364060744121,1.063169725159388,-0.7047711410573503,2.174119054474984,-1.444485361177259,3.080835263150206,0.9140990687467612,0.5784442128035012,-1.8562477749163817,1.094722398096055,2.0769852844212897,0.19867581699809456,-3.0950912721634904
SK-MEL-28,4.04981331697735,-0.9833024968775516,-3.4200742534724085,6.173692469561986,3.0500010982795662,1.5549750642521902,-0.07305069520573435,-1.5180266704615517,-1.2908077606363264,4.331467421288932,1.065989093362966,-2.531819638532235,-1.5124187921506262,-0.6981236456078931,-2.1869363118457263,-1.2554420988129347,1.7994942411799402,-0.6519197131465911,-0.891733129774607,-0.43054935538650285,0.21965058170325868,0.3912175882544199,0.21520545163804558,-0.6198909541901465,-1.3098820921528005
MDA-MB-231/ATCC,-3.269257275806981,-5.889622087370271,4.126368036386809,-0.16222094572267787,0.23900851659779168,1.5122513927347447,-1.3490815855442768,-0.09948572235311114,-0.07641008133178566,-4.148217972415309,-1.4777984127121448,2.381755581389225,0.41729556205784263,0.4889297676595631,-1.8206232013655421,-3.275391824712632,1.8040800493343718,-0.48963246963052204,0.9255447710572648,2.229173977346964,-1.5051074254878973,-0.4408511150338859,-0.43272930447270025,0.7376383689764601,-1.535979255716491
OVCAR-4,-0.4919170332638426,5.98884599245158,1.846906527789083,-2.834990737602519,0.8134375489094199,-1.6719228423199857,3.989268216217227,-2.322400086719286,-1.695938870916934,-1.8208823673202914,0.7125718003934457,-2.0552847306495146,-0.9525970994376367,2.591206481945422,-3.6751000323295724,1.6570506158164622,-2.2150061542904362,0.38514544485557095,-2.195106742032534,-0.6437463144269535,-3.0019800314429865,-0.34674171932427733,0.7056261708858999,-1.0382481391053187,1.43023737235353
HCT-15,4.3162362741629545,-1.3593453818704848,-0.08645542045891136,-2.43217133700114,3.9117005153184787,0.7666358732866196,1.2665532476162835,-2.4128120388282204,1.3056076731010628,4.282047495969334,-1.5333083979260518,3.803790748826436,-1.4498597077765278,0.17910189560382098,0.5898414931061163,-0.3251417110595737,-1.8523019364497135,-0.946179388962822,-2.522857952901441,0.07580453081289448,-0.3194890809163169,-1.1069793828675505,-0.64742024682568,0.4498190308107923,0.26752853224923545
SF-295,-6.7086988251919255,1.992361938132634,4.3183297275271055,-0.4767739289458573,0.47631955748337307,-0.3967395238179604,-1.8267605185982088,0.8915746075964486,6.113781182610266,-2.824083151021168,2.967838892274026,-0.5714900077944368,-0.8329136407320925,-0.30141002124499383,2.5227161336773083,4.504264245709083,-0.5181808977686757,-2.9029569545505507,1.7161768216933164,-1.9327754096876288,-0.9767203521630219,-1.5096329945512563,-2.7327447269673835,-1.3087641755067367,-0.6401871409228187
UACC-62,-5.22454737427532,9.097457277905875,3.823595955734448,9.508921977397778,0.7928945387738419,-3.451409148571997,-1.144110329783501,0.9603515082624763,-1.0345472992526568,0.6077088621880883,0.549443086058233,0.22610277613920693,5.337506305033241,0.8286348143531954,1.055714234013348,0.42381686615236797,-0.2361646613639354,0.10818318363586546,-0.9236299311689118,-1.8030974057575442,-1.2416800709421636,0.23754954742278991,-0.20931277214179064,0.021063344925290224,-0.24328606286479112
NCI-H460,-0.15339363920153512,7.581752545439831,-6.94873577071786,-4.153698594330327,-5.541822256996418,2.0474341060476267,-0.5469187711561466,0.47704268193510047,1.2772507357317546,-0.5318186730614359,1.019253212657871,0.14185879965389797,-0.6474648379606767,-3.7519838812907733,3.135108299260262,-4.141109975047261,-0.6031260308769881,1.3172275021967246,1.5753360937061083,0.5753186783992148,-4.8607428780746575,-2.107375704781103,-1.81353604160777,1.1729563896615047,-1.2836413743903055
